entropy,,energy,
X,Y,X,Y
942192.6247126746,107.52920862387042,901253.7729788944,107.52920862387042
660422.2079814663,106.36489535955472,721745.4809782809,107.52920862387042
483919.85049051745,106.36489535955472,540732.0904087147,107.52920862387042
346799.85207562294,106.36489535955472,423541.1620331051,106.36489535955472
212745.43700335384,106.36489535955472,254115.21680881863,106.36489535955472
133447.58269598964,105.21318913843035,199041.7364283858,105.21318913843035
78315.02055378903,102.94705327368817,155895.94790747928,105.21318913843035
52517.354841780216,98.560157871216,109273.98860059884,104.07395345295866
42063.77393318831,95.39310680212827,76598.72988785274,101.83235503324968
25812.282655358445,89.3610367980886,52517.354841780216,98.560157871216
18092.908241021356,88.39344630069206,39354.29460825929,94.36020178036327
14489.992565416354,87.4363327561623,30151.222038871943,91.32810864676338
11604.540394992313,86.48958272132077,21611.195826948442,88.39344630069206
7609.3612394429965,86.48958272132077,16191.969380466782,87.4363327561623
5453.51450514289,85.55308398133835,10156.641680999763,86.48958272132077
3738.627006470202,84.62672553643407,6370.897067077313,85.55308398133835
2506.8266747576426,82.80399152918442,3996.2352433111637,84.62672553643407
1538.0628104926807,80.14323615336716,2145.966786617919,81.9073999248237
1054.5766497044053,76.72808260559381,1407.3070467068833,80.14323615336716
554.0102778456586,70.32816507759796,807.9620036074549,74.262565491035
379.8984402138241,65.88104694479946,566.4533166248106,70.32816507759796
272.2960805777144,63.76407955487525,347.6020278876722,65.88104694479946
208.6081982769976,62.39069596347534,222.98224256002027,62.39069596347534
167.075957469265,61.04689301531992,146.22988724805975,61.04689301531992
149.51420205314662,61.04689301531992,137.4226835683609,23.93559236853012
146.36816429428632,50.18306494237403,125.825792542217,20.776790421984273
143.57452087316,27.276068265754905,110.1785624278054,18.837586845904713
134.41809365803002,23.420055250471584,94.35293665740093,17.26633681402316
120.38386653987774,19.891426504495378,73.91968703808,16.35157333594434
110.19013383266511,18.431853196860637,55.398118792032406,15.317600983589793
96.46196732266364,17.646414376835516,40.60964768145568,14.039954264257133
80.78347370862545,16.530564286512334,29.77207025425092,12.591700035052657
59.212189378256745,15.485273653622542,22.8170055798031,11.416452595917004
48.49627946517597,14.664870174936459,15.645358995141782,10.811613596397358
36.35061249066219,13.296123216990138,9.81325728925685,10.811613596397358
28.482941909460617,12.18708870001651,2.072869817795347,10.811613596397358
22.316965952355954,11.292836628135134,0.9740870092246668,10.811613596397358
15.301684056754471,10.811613596397358,0.5231093786826271,10.35089698070901
9.598197626769581,10.694546752141347,0.3920167281712672,9.802510682833782
6.2934261528321205,10.811613596397358,0.314051743390094,9.083231804708312
4.126526070966291,10.9299619017888,0.25160578487381696,8.325596106490515
2.8926065565377956,10.694546752141347,0.18048311139868695,6.843983525765031
2.072869817795347,10.811613596397358,0.13840756772029147,5.445254408918728
1.4209699368137052,10.811613596397358,0.10850211114462971,4.525222363650142
0.9960172458704725,10.694546752141347,0.08317235907703532,3.92802464275126
0.638831646623131,10.464202095253302,0.05456665377249181,3.522839683155889
0.4190064437939026,9.909812938648905,0.02930367419070546,3.3727204838370164
0.3071531024836416,9.083231804708312,0.016448193955845146,3.3727204838370164
0.23022804072433953,8.23544755890815,0.010316820424665817,3.3727204838370164
0.16152906047565263,6.696574283136386,,
0.12385921564820603,5.445254408918728,,
0.09286363066596323,4.675459742482828,,
0.06807735410727184,4.239075292897916,,
0.04465159200889425,4.014490813831116,,
0.030613869253638647,3.8854924670508693,,
0.021458541063733648,3.8434208246042996,,
0.015378205417939007,3.8434208246042996,,
0.013163808083352189,3.8434208246042996,,
0.010309780351223034,3.8854924670508693,,
